@relation 'Allegheny_County_Crash_Data_Nominal-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.0-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R1-5,7-16,20-33,35-51,53-55,57-61,65-68'

@attribute COLLISION_TYPE {Side-swipe-same-direction,Angle,hit-fixed-object,hit-pedestrian,Rear-end,Side-swipe-opposite-direction,Rear-to-rear,Head-on,Non-collision}
@attribute PROPERTY_DAMAGE_ONLY {NO,YES}
@attribute FATAL_OR_MAJ_INJ {NO,YES}
@attribute INJURY {NO,YES}
@attribute MOTORCYCLE {NO,YES}
@attribute PEDESTRIAN {NO,YES}
@attribute INJURY_OR_FATAL {NO,YES}
@attribute MINOR_INJURY {NO,YES}
@attribute MODERATE_INJURY {NO,YES}
@attribute MAJOR_INJURY {NO,YES}
@attribute MAX_SEVERITY_LEVEL {NoInjury,Injury}

@data
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-opposite-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Non-collision,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-opposite-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Head-on,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-same-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Head-on,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Head-on,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Head-on,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-same-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Head-on,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-opposite-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-same-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Non-collision,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Head-on,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-same-direction,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Non-collision,YES,NO,NO,YES,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-same-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Head-on,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-same-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-same-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-opposite-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-same-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-to-rear,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Head-on,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-same-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-opposite-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Head-on,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-same-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-opposite-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Head-on,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-same-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,YES,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Head-on,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-same-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-same-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Non-collision,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-opposite-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-opposite-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Head-on,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-opposite-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-same-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-same-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-opposite-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-same-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-same-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Head-on,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Head-on,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Non-collision,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Non-collision,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Head-on,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Head-on,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Non-collision,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-opposite-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-same-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-opposite-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-opposite-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Non-collision,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Head-on,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-opposite-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Head-on,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-same-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-same-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Non-collision,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-same-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Side-swipe-same-direction,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Head-on,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Rear-end,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
Angle,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
hit-fixed-object,YES,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
